diag,diag_description
514,Pulmonary congestion and hypostasis
682,Other cellulitis and abscess
V55,Attention to artificial openings
V58,Encounter for other and unspecified procedures and aftercare
174,Malignant neoplasm of female breast
263,Other and unspecified protein-calorie malnutrition
427,Cardiac dysrhythmias
410,Acute myocardial infarction
721,Spondylosis and allied disorders
255,Disorders of adrenal glands
822,Fracture of patella
403,Hypertensive chronic kidney disease
250.32,Diabetes with other coma
566,Abscess of anal and rectal regions
626,Disorders of menstruation and other abnormal bleeding from female genital tract
459,Other disorders of circulatory system
595,Cystitis
348,Other conditions of brain
416,Chronic pulmonary heart disease
592,Calculus of kidney and ureter
388,Other disorders of ear
555,Regional enteritis
335,Anterior horn cell disease
655,Known or suspected fetal abnormality affecting management of mother
723,Other disorders of cervical region
331,Other cerebral degenerations
293,Transient mental disorders due to conditions classified elsewhere
729,Other disorders of soft tissues
585,Chronic kidney disease (CKD)
604,Orchitis and epididymitis
444,Arterial embolism and thrombosis
481,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia]
826,Fracture of one or more phalanges of foot
565,Anal fissure and fistula
825,Fracture of one or more tarsal and metatarsal bones
135,Sarcoidosis
576,Other disorders of biliary tract
663,Umbilical cord complications
611,Other disorders of breast
333,Other extrapyramidal disease and abnormal movement disorders
464,Acute laryngitis and tracheitis
813,Fracture of radius and ulna
289,Other diseases of blood and blood-forming organs
478,Other diseases of upper respiratory tract
042,Human immunodeficiency virus [HIV] disease
614,"Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum"
253,Disorders of the pituitary gland and its hypothalamic control
160,"Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses"
217,Benign neoplasm of breast
582,Chronic glomerulonephritis
383,Mastoiditis and related conditions
873,Other open wound of head
341,Other demyelinating diseases of central nervous system
570,Acute and subacute necrosis of liver
230,Carcinoma in situ of digestive organs
009,Ill-defined intestinal infections
810,Fracture of clavicle
992,Effects of heat and light
863,Injury to gastrointestinal tract
551,"Other hernia of abdominal cavity, with gangrene"
152,"Malignant neoplasm of small intestine, including duodenum"
048,Other enterovirus diseases of central nervous system
878,"Open wound of genital organs (external), including traumatic amputation"
797,Senility without mention of psychosis
882,Open wound of hand except finger(s) alone
V56,Encounter for dialysis and dialysis catheter care
973,Poisoning by agents primarily affecting the gastrointestinal system
487,Influenza
796,Other nonspecific abnormal findings
261,Nutritional marasmus
V54,Other orthopedic aftercare
223,Benign neoplasm of kidney and other urinary organs
324,Intracranial and intraspinal abscess
143,Malignant neoplasm of gum
792,Nonspecific abnormal findings in other body substances
610,Benign mammary dysplasias
640,Hemorrhage in early pregnancy
633,Ectopic pregnancy
445,Atheroembolism
272,Disorders of lipoid metabolism
405,Secondary hypertension
075,Infectious mononucleosis
734,Flat foot
521,Diseases of hard tissues of teeth
980,Toxic effect of alcohol
696,Psoriasis and similar disorders
208,Leukemia of unspecified cell type
245,Thyroiditis
149,"Malignant neoplasm of other and ill-defined sites within the lip, oral cavity, and pharynx"
854,Intracranial injury of other and unspecified nature
952,Spinal cord injury without evidence of spinal bone injury
683,Acute lymphadenitis
175,Malignant neoplasm of male breast
706,Diseases of sebaceous glands
360,Disorders of the globe
988,Toxic effect of noxious substances eaten as food
731,Osteitis deformans and osteopathies associated with other disorders classified elsewhere
V25,Encounter for contraceptive management
363,"Chorioretinal inflammations, scars, and other disorders of choroid"
976,"Poisoning by agents primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological, and dental drugs"
098,Gonococcal infections
271,Disorders of carbohydrate transport and metabolism
895,Traumatic amputation of toe(s) (complete) (partial)
V70,General medical examination
422,Acute myocarditis
903,Injury to blood vessels of upper extremity
804,Multiple fractures involving skull or face with other bones
833,Dislocation of wrist
690,Erythematosquamous dermatosis
V51,Aftercare involving the use of plastic surgery
319,Unspecified mental retardation
V44,Artificial opening status
E934,Agents primarily affecting blood constituents
138,Late effects of acute poliomyelitis
E817,Noncollision motor vehicle traffic accident while boarding or alighting
V64,"Persons encountering health services for specific procedures, not carried out"
909,Late effects of other and unspecified external causes
520,Disorders of tooth development and eruption
V08,Asymptomatic human immunodeficiency virus [HIV] infection status
E929,LATE EFFECTS OF ACCIDENTAL INJURY 
713,Arthropathy associated with other disorders classified elsewhere
E884,Other fall from one level to another
742,Other congenital anomalies of nervous system
E814,Motor vehicle traffic accident involving collision with pedestrian
130,Toxoplasmosis
E919,Accidents caused by machinery
E916,Struck accidentally by falling object
316,Psychic factors associated with diseases classified elsewhere
V02,Carrier or suspected carrier of infectious diseases
186,Malignant neoplasm of testis
748,Congenital anomalies of respiratory system
096,"Late syphilis, latent"
E819,Motor vehicle traffic accident of unspecified nature
V50,Elective surgery for purposes other than remedying health states
E968,Assault by other and unspecified means
V69,Problems related to lifestyle
V86,ESTROGEN RECEPTOR STATUS 
E945,Agents primarily acting on the smooth and skeletal muscles and respiratory system
270,Disorders of amino-acid transport and metabolism
460,Acute nasopharyngitis [common cold]
E883,Fall into hole or other opening in surface
884,Multiple and unspecified open wound of upper limb
943,"Burn of upper limb, except wrist and hand"
265,Thiamine and niacin deficiency states
365.44,Glaucoma associated with systemic syndromes
E828,Accident involving animal being ridden
757,Congenital anomalies of the integument
